order,sub_no,cond,trial,id,p,x,q,y,choice
1,2,0,30,34,20,100,100,10,0
1,2,0,31,164,100,200,100,100,0
1,2,0,32,4,20,20,100,10,1
1,2,0,33,141,60,500,100,50,1
1,2,0,34,166,60,200,20,10,0
1,2,0,35,71,20,200,80,50,1
1,2,0,36,115,20,500,80,100,1
1,2,0,37,45,40,100,100,10,0
1,2,0,38,150,80,500,100,200,1
1,2,0,39,129,40,500,100,50,1
1,2,0,40,167,100,200,100,10,0
1,2,0,41,97,80,200,100,10,0
1,2,0,42,12,20,50,60,10,0
1,2,0,43,92,60,200,100,20,0
1,2,0,44,75,20,200,80,100,1
1,2,0,45,107,20,500,80,20,1
1,2,0,46,18,20,50,100,20,1
1,2,0,47,69,20,200,40,50,1
1,2,0,48,81,40,200,80,20,0
1,2,0,49,57,60,100,100,50,1
1,2,0,50,17,20,50,80,20,0
1,2,0,51,93,60,200,80,50,0
1,2,0,52,78,40,200,80,10,0
1,2,0,53,125,40,500,80,20,0
1,2,0,54,79,40,200,100,10,0
1,2,0,55,126,40,500,100,20,0
1,2,0,56,117,20,500,40,200,1
1,2,0,57,132,40,500,100,100,1
1,2,0,58,177,100,200,80,50,0
1,2,0,59,77,40,200,60,10,0
1,2,0,60,1,20,20,40,10,0
1,2,0,61,135,40,500,100,200,1
1,2,0,62,55,60,100,100,20,0
1,2,0,63,179,100,200,20,20,0
1,2,0,64,51,40,100,100,50,1
1,2,0,65,171,60,20,20,10,0
1,2,0,66,13,20,50,80,10,0
1,2,0,67,36,20,100,60,20,0
