Lang	Occurrences	Message
Java	11	java.lang.NullPointerException <NAME>
Java	11	java.lang.UnsatisfiedLinkError Library ' '
Java	11	java.net.BindException Permission denied
Java	11	error while writing: (The media is write protected)
Java	11	illegal reference to static field from initializer
Java	10	java.lang.RuntimeException JOptionPane: option type must be one of JOptionPane.DEFAULT_OPTION, JOptionPane.YES_NO_OPTION, JOptionPane.YES_NO_CANCEL_OPTION or JOptionPane.OK_CANCEL_OPTION
Java	10	binary numbers must contain at least one binary digit
Java	10	error while writing: (The process cannot access <NAME>
Java	10	error while writing: could not create parent directories
Java	10	name clash: <NAME> and <NAME> erasure
Java	9	com.mysql.jdbc.exceptions.jdbc4.CommunicationsException
Java	9	java.lang.ArithmeticException BigInteger: modulus not positive
Java	9	java.lang.IllegalStateException Name must not be empty.
Java	9	java.lang.InstantiationError Object
Java	9	java.lang.RuntimeException java.lang.ArrayIndexOutOfBoundsException
Java	9	NullDivision
Java	9	org.openqa.selenium.NoSuchElementException unable to locate node using <INPUT>
Java	9	as of release #, ' is allowed as the parameter name for the receiver type only, which has to be the first parameter
Java	9	error while writing: (The file cannot be accessed by the system)
Java	8	acm.util.ErrorException java.io.FileNotFoundException (The process cannot access the file because it is being used by another process)
Java	8	edu.cmu.sphinx.util.props.InternalConfigurationException Can't locate resource
Java	8	java.io.FileNotFoundException (The process cannot access the file because it is being used by another process)
Java	8	java.lang.NullPointerException No robot world has been created to place the robot in.
Java	8	java.lang.RuntimeException Could not read from the file ' '
Java	8	java.lang.RuntimeException java.sql.SQLException
Java	8	java.lang.UnsatisfiedLinkError lejos.nxt.SensorPort.setPowerTypeById(II)V
Java	8	java.lang.UnsatisfiedLinkError: Can't load IA 32-bit .dll on a AMD 64-bit platform
Java	8	javax.imageio.IIOException Can't read input file!
Java	8	error reading: error reading zip file
Java	8	error: Exception thrown while constructing Processor object: com/jogamp/gluegen/structgen/CStructAnnotationProcessor : Unsupported major.minor version 51.0
Java	8	interface not allowed here
Java	7	ClaveDuplicadaException
Java	7	java.awt.AWTError Illegal request
Java	7	java.io.EOFException
Java	7	java.lang.IllegalStateException Provider may only be changed before input is created!
Java	7	java.nio.BufferUnderflowException
Java	7	javax.sound.sampled.UnsupportedAudioFileException could not get audio input stream from input file <FILE>
Java	7	Alternatives in a multi-catch statement cannot be related by subclassing
Java	7	anonymous <CLASS> interface; cannot have arguments
Java	7	error while writing: (No space left on device)
Java	6	com.db4o.ext.DatabaseClosedException
Java	6	com.jme3.asset.AssetNotFoundException textures/doty.gif (Flipped) (Mipmapped)
Java	6	gumball.HasQuarterException
Java	6	java.lang.IllegalStateException just testing!
Java	6	java.lang.IncompatibleClassChangeError Expected static method <METHOD>
Java	6	java.lang.UnsatisfiedLinkError NativeProcess.createProcess(Ljava/lang/String;Ljava/lang/String;ZLjava/io/FileDescriptor;Ljava/io/FileDescriptor;Ljava/io/FileDescriptor;)I
Java	6	java.net.BindException Address already in use
Java	6	java.net.MalformedURLException Unsupported protocol: <PROTOCOL>
Java	6	java.security.InvalidKeyException Wrong algorithm: AES or Rijndael required
Java	6	java.util.NoSuchElementException The queue is currently empty.
Java	6	LengthException
Java	6	OverflowException
Java	6	SpaceOccupiedException
Java	6	error while writing: (Permiso denegado)
Java	6	non-static method <T>getList(T...) cannot be referenced from a static context
Java	5	EmptyListException
Java	5	InvalidInputException
Java	5	InvalidMoveException
Java	5	java.awt.geom.IllegalPathStateException missing initial moveto in path definition
Java	5	java.awt.image.RasterFormatException Transformed height/width (0) is less than or equal to 0.
Java	5	java.lang.ClassFormatError Truncated class file
Java	5	java.lang.Error Could not find class ' ' while reading a city.
Java	5	java.lang.IllegalStateException Invalid boundary limits.
Java	5	java.net.MalformedURLException unknown protocol: <PROTOCOL>
Java	5	java.text.ParseException Unparseable date: "#"
Java	5	javax.imageio.IIOException Unsupported Image Type
Java	5	javax.media.opengl.GLException No default device available
Java	5	StackUnderflowException Stack Underflow
Java	5	TerminalException
Java	5	utils.NotFoundException Not Found
Java	5	constant string too long
Java	5	error reading: (The system cannot find the file specified)
Java	5	error while writing: (The requested operation cannot be performed on a file with a user-mapped section open)
Java	4	com.vmware.vim25.DuplicateName
Java	4	java.io.IOException Server returned HTTP response code: 400 for URL
Java	4	java.lang.ArithmeticException Non-terminating decimal expansion; no exact representable decimal result.
Java	4	java.lang.IllegalStateException Either the name or phone must not be blank.
Java	4	java.lang.IllegalStateException Worth must not be negative.
Java	4	java.lang.RuntimeException JOptionPane: parentComponent does not have a valid parent
Java	4	java.lang.Throwable
Java	4	java.lang.UnsatisfiedLinkError lejos.nxt.LCD.getSystemFont()[B
Java	4	java.lang.UnsupportedOperationException getGraphics() not valid for images created with createImage(producer)
Java	4	java.net.ConnectException Connection timed out: connect
Java	4	java.nio.file.InvalidPathException Illegal Char <CHAR>
Java	4	javax.crypto.IllegalBlockSizeException Data must not be longer than 64 bytes
Java	4	javax.mail.SendFailedException Invalid Addresses
Java	4	UnderflowException
Java	4	UnexpectedTextfileFormatException Unexpected Length Of Line in <FILE>: # at #
Java	4	bad initializer for for-loop
Java	4	illegal '.'
Java	3	com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException Unknown column ' '
Java	3	com.vmware.vim25.NotSupported
Java	3	ElementNotFoundException The target element is not in this <STRUCTURE>
Java	3	gumball.NoQuarterException
Java	3	InvalidPositionException
Java	3	java.awt.IllegalComponentStateException The frame is decorated
Java	3	java.io.FileNotFoundException (The device is not ready)
Java	3	java.io.FileNotFoundException <FILE>
Java	3	java.lang.ArithmeticException Rounding necessary
Java	3	java.lang.Error setAccelerator() is not defined for JMenu. Use setMnemonic() instead.
Java	3	java.lang.IllegalStateException Object creation failed, invalid state.
Java	3	java.lang.IllegalStateException Timer already cancelled.
Java	3	java.lang.RuntimeException Do not recognize shape
Java	3	java.lang.RuntimeException Invalid card specification
Java	3	java.lang.RuntimeException java.io.FileNotFoundException (The system cannot find the file specified)
Java	3	java.lang.RuntimeException Live cache invalid or missing for Corn
Java	3	java.lang.RuntimeException missing Flickr API key
Java	3	java.lang.SecurityException Unexpected Error in Resourcefile: currentLine.length(): 1
Java	3	java.lang.UnsatisfiedLinkError: Can't find dependent libraries
Java	3	java.net.BindException Cannot assign requested address: #
Java	3	MatrixMathException Inverse Error: Matrix is singular and does not have an inverse
Java	3	MyError java.io.FileNotFoundException:
Java	3	ThirteenException Use thirteen letter words and stainless steel to protect yourself!
Java	3	utils.EmptyException StringIntMap.entries
Java	3	<CLASS>
Java	3	cannot create array with '<>'
Java	3	error while writing: (Accesso negato)
Java	3	non-static <CLASS> cannot be referenced from a static context
Java	3	repeated interface
Java	3	unqualified enumeration constant name required
Java	3	unreported exception <NAME> constructor
Java	2	acm.util.ErrorException Cannot determine the main class.
Java	2	anException nahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
Java	2	com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException Table ' ' doesn't exist
Java	2	eduLine.eduJava$CrossRoadsException DeviceProblem.openUSB
Java	2	IndexException
Java	2	java.awt.color.CMMException Invalid image format
Java	2	java.awt.IllegalComponentStateException The window is showing on screen.
Java	2	java.io.InvalidClassException local class incompatible: stream classdesc serialVersionUID = 1390623405567409529, local class serialVersionUID = -4616381250237435092
Java	2	java.io.IOException Cannot run program "#": CreateProcess error=740, The requested operation requires elevation
Java	2	java.io.IOException Cannot run program "#": error=2, No such file or directory
Java	2	java.io.IOException Cannot run program # in directory "C:\"): CreateProcess error=2, The system cannot find the file specified
Java	2	java.io.IOException Cannot run program # in directory "Desktop"): CreateProcess error=267, The directory name is invalid
Java	2	java.io.IOException could not create audio stream from input file <FILE>
Java	2	java.io.IOException Failed to open file <FILE> Error message: A device attached to the system is not functioning.
Java	2	java.io.IOException Negative seek offset
Java	2	java.io.IOException Stream not marked
Java	2	java.lang.ArithmeticException NAN
Java	2	java.lang.ClassFormatError javax/swing/plaf/basic/BasicOptionPaneUI$MultiplexingTextField
Java	2	java.lang.Error Division by zero.
Java	2	java.lang.IllegalStateException Cannot get a numeric value from a text cell
Java	2	java.lang.IllegalStateException No current robot. Specify robot to move using an argument or create a robot first.
Java	2	java.lang.IllegalStateException There is already some food
Java	2	java.lang.InternalError Could not create a buffer strategy
Java	2	java.lang.LinkageError loader constraint violation: when resolving method "bst.BinarySearchTree.insert(Lki/KeyedItem;)V" the class loader (instance of java/net/URLClassLoader) of the current class, TreeSort, and the class loader (instance of sun/misc/Launcher$AppClassLoader) for resolved class, bst/BinarySearchTree, have different Class objects for the type V used in the signature
Java	2	java.lang.OutOfMemoryError PermGen space
Java	2	java.lang.RuntimeException File not found
Java	2	java.lang.RuntimeException java.lang.InstantiationException: blackjack.Player$NotifyWon
Java	2	java.lang.RuntimeException Matrix is singular or nearly singular
Java	2	java.lang.RuntimeException Resource not found:
Java	2	java.lang.RuntimeException Stack underflow
Java	2	java.lang.SecurityException Access to default session denied
Java	2	java.lang.ThreadDeath
Java	2	java.lang.UnsatisfiedLinkError com.sun.midp.main.Configuration.getProperty0(Ljava/lang/String;)Ljava/lang/String;
Java	2	java.lang.UnsatisfiedLinkError lejos.nxt.MotorPort.getTachoCountById(I)I
Java	2	java.lang.UnsatisfiedLinkError lejos.nxt.NXT.getUserPages()I
Java	2	java.lang.UnsatisfiedLinkError MyObject.getClassName()Ljava/lang/String;
Java	2	java.lang.UnsatisfiedLinkError: Can't load library: <LIBRARY>
Java	2	java.net.NoRouteToHostException No route to host: connect
Java	2	java.nio.BufferOverflowException
