Source,Target,weight,products,services,finances,content,hardware,interviewed
61,301,1,NA,1,NA,NA,NA,FALSE
61,343,1,1,NA,NA,NA,NA,FALSE
61,354,3,NA,3,NA,NA,NA,FALSE
62,65,1,1,NA,NA,NA,NA,FALSE
62,113,1,1,NA,NA,NA,NA,FALSE
62,165,1,1,NA,NA,NA,NA,FALSE
63,64,1,1,NA,NA,NA,NA,FALSE
63,66,1,1,NA,NA,NA,NA,FALSE
63,124,1,NA,1,NA,NA,NA,FALSE
63,129,1,NA,1,NA,NA,NA,FALSE
63,148,1,NA,1,NA,NA,NA,FALSE
63,185,1,NA,1,NA,NA,NA,FALSE
63,194,1,NA,1,NA,NA,NA,FALSE
64,65,1,NA,1,NA,NA,NA,FALSE
65,61,1,NA,NA,1,NA,NA,TRUE
65,64,1,NA,NA,1,NA,NA,TRUE
65,66,1,NA,NA,1,NA,NA,TRUE
65,67,1,NA,1,NA,NA,NA,TRUE
65,68,1,NA,1,NA,NA,NA,TRUE
66,65,1,NA,1,NA,NA,NA,FALSE
67,65,1,NA,NA,1,NA,NA,FALSE
68,65,1,NA,NA,1,NA,NA,FALSE
69,11,2,NA,NA,2,NA,NA,TRUE
69,70,1,NA,1,NA,NA,NA,TRUE
69,71,2,NA,2,NA,NA,NA,TRUE
70,69,1,NA,NA,1,NA,NA,FALSE
70,71,1,NA,1,NA,NA,NA,FALSE
71,69,2,NA,NA,2,NA,NA,FALSE
71,70,1,NA,NA,1,NA,NA,FALSE
72,2,1,NA,NA,1,NA,NA,TRUE
72,49,1,NA,NA,1,NA,NA,TRUE
72,50,1,NA,NA,1,NA,NA,TRUE
72,73,1,1,NA,NA,NA,NA,TRUE
72,74,1,1,NA,NA,NA,NA,TRUE
72,75,2,1,1,NA,NA,NA,TRUE
72,76,2,1,1,NA,NA,NA,TRUE
72,77,2,1,1,NA,NA,NA,TRUE
73,72,1,NA,NA,1,NA,NA,FALSE
73,77,1,1,NA,NA,NA,NA,FALSE
74,72,1,NA,NA,1,NA,NA,FALSE
74,77,1,1,NA,NA,NA,NA,FALSE
75,72,1,NA,NA,1,NA,NA,FALSE
75,77,1,NA,1,NA,NA,NA,FALSE
76,72,1,NA,NA,1,NA,NA,FALSE
76,77,1,NA,1,NA,NA,NA,FALSE
77,72,1,NA,NA,1,NA,NA,FALSE
77,73,1,NA,NA,1,NA,NA,FALSE
77,74,1,NA,NA,1,NA,NA,FALSE
77,75,1,NA,NA,1,NA,NA,FALSE
77,76,1,NA,NA,1,NA,NA,FALSE
78,80,1,1,NA,NA,NA,NA,FALSE
79,80,2,1,NA,NA,NA,NA,FALSE
79,200,1,1,NA,NA,NA,NA,FALSE
80,81,2,1,1,NA,NA,NA,TRUE
80,82,1,1,NA,NA,NA,NA,TRUE
80,179,4,3,1,NA,NA,NA,TRUE
81,80,1,NA,NA,1,NA,NA,FALSE
81,82,6,5,NA,NA,NA,1,FALSE
82,80,3,NA,NA,1,NA,NA,FALSE
82,81,1,NA,NA,1,NA,NA,FALSE
83,91,1,1,NA,NA,NA,NA,FALSE
84,91,1,1,NA,NA,NA,NA,FALSE
84,149,1,NA,1,NA,NA,NA,FALSE
